Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards,Import
Hake,0,0.00559907,0,0,0,0,0,0,0,0,0,0.000937252,0,0,0,0,0,0,0,0,0.00739926,0,0,0,0,0.00759924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue whiting,0,0.002499585,0,0,0.00350035,0.0214698,0,0.0740074,0,0,0,0.001757348,0,0.0205082,0,0,0,0,0,0.0362286,0.3256674,0,0,0.0412,0,0,0.000100007,0,0,0,0.000499996,0.01680168,0,0,0,0,0,0,0,0,0,0.05409459,0,0,0,0.0083,0,0,0.01059894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway pout,0.005370846,0.2237629,0,0,0.07310731,0.09892946,0.1013203,0.02110211,0.0106,0.1105889,0.00140014,0.05471209,0.1269125,0.07362945,0.1371863,0.2048205,0.01020104,0.09080563,0.2387959,0.3428931,0.1085891,0.094,0,0.1106,0.000399015,0.1320868,0.07110469,0,0,0,0.009399921,0.2235224,0,0,0,0.00539946,0.0440044,0,0,0,0.1141886,0.239576,0.2034112,0,0,0,0,0,0.01059894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other gadoids (large),0,0.01449759,0.06970637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003900242,0,0,0,0,0,0.0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other gadoids (small),0,0.04729215,0.02780254,0.00239976,0.00260026,0.1317656,0.009801961,0.01030103,0.015,0.04689531,0.03270327,0.06677921,0.03700365,0.02260904,0.01309869,0.02070207,0.001200122,0.003800236,0.02089964,0.03857281,0.0489951,0,0,0.0145,0.01690064,0,0.07520496,0,0,0,0.0113999,0.0340034,0,0,0,0.02659734,0,0,0,0,0.0339966,0.2271773,0.03024777,0,0,0.0258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monkfish,0,0,0.01040095,0,0,0,0,0,0,0,0,0.000937252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gurnards,0,0,0,0,0,0,0.04880976,0.00040004,0,0.00039996,0,0.002811756,0.002100207,0.006402561,0,0.00030003,9.90E-05,0,0,0.000319664,0.0029997,0,0,0,0,0,0.000100007,0,0,0,0,0.00490049,0,0,0,0,0,0,0,0,0,0.00619938,0,0,0,0,0.01010068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herring (juvenile 0, 1)",0.00092957,0.001099817,8.60E-06,0.00179982,0.00050005,0.001768101,0.00090018,0,0,0.00029997,0.00320032,0.01359016,0.050705,0.00220088,0.00029997,0.00490049,0,0.001300081,1.70E-05,0.004155634,0.00229977,0,0,0.0297,0,0.00989901,0.000100007,0,0,0,0.000999992,0.0040004,0,0.00020002,0,0,0,0,0,0,0.00139986,0,0,0,0,0,3.30E-05,0,0.00089991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring (adult),0,0.003299452,0.006100557,0.01549845,0.06260626,0.1873345,0.1018204,0.00540054,0,0.00839916,0,0,0.002100207,0.06152461,0,0,0,0,0,0.202454,0,0,0,0.1561,0,0.1189881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprat,0.01043184,0.1043827,0.002800256,0.03509649,0.02310231,0.04083471,0,0.01380138,0.0001,0.00019998,0.01920192,0,0.03060302,0.0145058,0.01449855,0.1752175,0,0.001000062,0.115398,0.06041652,0.1085891,0.0102,0,0,0.003890148,0.00369963,0.01560103,0,0,0,0.0603995,0.00610061,0,0,0,0,0,0,0,0,0.1710829,0.3376662,0.1017056,0,0,0.0005,0.001300087,0,0.01069893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackerel,0.09688181,0.01959675,0,0.01549845,0.01370137,0.08187991,0.1542308,0.00470047,0,0,0,0,0,0.0135054,0,0,0,0,0,0.004049079,0.1731827,0,0,0,0,0.0679932,0.000800053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horse mackerel,0,0.01229796,0.01240113,0.00709929,0,0.01936492,0,0,0,0,0,0,0.000801079,0.00310124,0.00159984,0.01110111,0,0,0,0,0.1891811,0,0,0,0,0,0.001300086,0,0,0,0.006299947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0,0,0.01069893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandeels,0.6762102,0.2730547,0.3013275,0.230377,0.01440144,0.03862458,0,0.01110111,0.3959,0.4936506,0.03630363,0.3901312,0.152315,0.05362145,0.3088691,0.3624362,0.1285131,0.2955183,0.009499838,0.0214175,0,0,0,0.3822,0.000998038,0.169983,0.4512298,0,0,0,0.2653978,0.04230423,0,0.00750075,0,0.02329767,0,0,0,0,0.1815818,0.01839816,0.4070254,0,0,6.00E-05,0.328722,0,0.04269573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plaice,0,0,0.06150562,0,0,0.04746509,0.06161232,0.0020002,0,0,0.00920092,0,2.10E-05,0.01920768,0,0,0,3.80E-05,0,0,0,0,0,0,0,0.00369963,3.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
